ACTIVE_PATTERN,MAX_TABLE_SIZE_LOG,MIN_TABLE_SIZE_LOG,Accuracy,Trace,,,AVG,STD,NORMAL,EXP,SUM,probability
HILL_SHAPED,11,9,96.04,748B,,,96.07,0.039832985,-0.753144668,0.68620948,18.02632704,0.038067071
HILL_SHAPED,11,10,96.08,748B,,,94.14375,0.110627001,0.251048223,1.133742505,17.81085042,0.062893706
HILL_SHAPED,12,9,96.06,748B,,,94.96625,0.15666844,-0.251048223,0.882034497,17.77367087,0.04893035
HILL_SHAPED,12,10,96.09,748B,,,,,0.502096445,1.285372067,,0.071305267
CONSTANT,11,9,96.01,748B,,,,,-1.506289336,0.47088345,,0.026121985
CONSTANT,11,10,96.07,748B,,,,,0,1,,0.055474418
CONSTANT,12,9,96.01,748B,,,,,-1.506289336,0.47088345,,0.026121985
CONSTANT,12,10,96.07,748B,,,,,0,1,,0.055474418
ASCENDING,11,9,96.09,748B,,,,,0.502096445,1.285372067,,0.071305267
ASCENDING,11,10,96.11,748B,,,,,1.004192891,1.652181351,,0.091653799
ASCENDING,12,9,96.14,748B,,,,,1.757337558,2.407692401,,0.133565335
ASCENDING,12,10,96.14,748B,,,,,1.757337558,2.407692401,,0.133565335
DESCENDING,11,9,96.03,748B,,,,,-1.004192891,0.605260433,,0.03357647
DESCENDING,11,10,96.07,748B,,,,,0,1,,0.055474418
DESCENDING,12,9,96.03,748B,,,,,-1.004192891,0.605260433,,0.03357647
DESCENDING,12,10,96.08,748B,,,,,0.251048223,1.133742505,,0.062893706
HILL_SHAPED,11,9,94.07,135B,,,,,-0.666654609,0.71653563,,0.040230287
HILL_SHAPED,11,10,94.19,135B,,,,,0.418071534,1.23248908,,0.069198778
HILL_SHAPED,12,9,94.16,135B,,,,,0.146889999,1.076209343,,0.060424366
HILL_SHAPED,12,10,94.23,135B,,,,,0.779646915,1.476720067,,0.082911261
CONSTANT,11,9,93.93,135B,,,,,-1.932168442,0.380570354,,0.021367332
CONSTANT,11,10,94.12,135B,,,,,-0.214685382,0.898217809,,0.050430933
CONSTANT,12,9,93.93,135B,,,,,-1.932168442,0.380570354,,0.021367332
CONSTANT,12,10,94.12,135B,,,,,-0.214685382,0.898217809,,0.050430933
ASCENDING,11,9,94.16,135B,,,,,0.146889999,1.076209343,,0.060424366
ASCENDING,11,10,94.24,135B,,,,,0.87004076,1.544994546,,0.086744569
ASCENDING,12,9,94.27,135B,,,,,1.141222296,1.769348055,,0.09934102
ASCENDING,12,10,94.33,135B,,,,,1.683585367,2.320523214,,0.130287053
DESCENDING,11,9,94.05,135B,,,,,-0.847442299,0.654606394,,0.036753236
DESCENDING,11,10,94.18,135B,,,,,0.327677689,1.178024455,,0.066140831
DESCENDING,12,9,94.11,135B,,,,,-0.305079228,0.858524884,,0.048202352
DESCENDING,12,10,94.21,135B,,,,,0.598859225,1.349089085,,0.075745349
HILL_SHAPED,11,9,94.87,53B,,,,,-0.614354749,0.735520127,,0.041382567
HILL_SHAPED,11,10,95.05,53B,,,,,0.534568418,1.306411688,,0.073502638
HILL_SHAPED,12,9,95.06,53B,,,,,0.598397483,1.348777655,,0.075886274
HILL_SHAPED,12,10,95.18,53B,,,,,1.364346261,1.97817189,,0.11129788
CONSTANT,11,9,94.66,53B,,,,,-1.954765111,0.376294742,,0.02117147
CONSTANT,11,10,94.91,53B,,,,,-0.35903849,0.835671868,,0.047017404
CONSTANT,12,9,94.66,53B,,,,,-1.954765111,0.376294742,,0.02117147
CONSTANT,12,10,94.91,53B,,,,,-0.35903849,0.835671868,,0.047017404
ASCENDING,11,9,94.85,53B,,,,,-0.742012879,0.690039498,,0.038823691
ASCENDING,11,10,95.01,53B,,,,,0.279252159,1.149843768,,0.064693657
ASCENDING,12,9,95.02,53B,,,,,0.343081224,1.187132354,,0.066791625
ASCENDING,12,10,95.16,53B,,,,,1.236688132,1.855852327,,0.104415815
DESCENDING,11,9,94.9,53B,,,,,-0.422867555,0.809422881,,0.045540558
DESCENDING,11,10,95.04,53B,,,,,0.470739353,1.265376462,,0.071193873
DESCENDING,12,9,95.03,53B,,,,,0.406910289,1.22563018,,0.068957628
DESCENDING,12,10,95.15,53B,,,,,1.172859067,1.79755882,,0.101136047
