TAG_SIZE_MAX,TAG_SIZE_MIN,Accuracy,Trace,,,AVG,STD,NORMAL,EXP,SUM,probability
10,6,96.04,748B,,748B,96.1475,0.092870878,-1.157521089,0.560592766,4.371594199,0.128235317
10,8,96.23,748B,,135B,94.34,0.242624538,0.888330138,1.559187838,4.384261798,0.356663443
12,6,96.1,748B,,53B,95.2,0.274347711,-0.511462807,0.774349929,4.335149181,0.177132161
12,8,96.22,748B,,,,,0.780653758,1.477463667,,0.337969079
10,6,94.07,135B,,,,,-1.112830556,0.573260364,,0.131133023
10,8,94.54,135B,,,,,0.82431893,1.510075221,,0.345428956
12,6,94.2,135B,,,,,-0.577023251,0.749378093,,0.171419866
12,8,94.55,135B,,,,,0.865534877,1.541517681,,0.352621403
10,6,94.87,53B,,,,,-1.202853118,0.548029282,,0.125361426
10,8,95.4,53B,,,,,0.72900189,1.439795292,,0.329352457
12,6,95.08,53B,,,,,-0.437401134,0.803562295,,0.183814476
12,8,95.45,53B,,,,,0.911252362,1.577160662,,0.360774717
